19:38:53.895 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:38:53.902 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:38:53.904 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:38:53.948 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:38:59.697 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:38:59.698 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:38:59.698 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Started
19:38:59.777 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (7433fa0530d3a77f9233e4eae1f46b2c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (7433fa0530d3a77f9233e4eae1f46b2c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (7433fa0530d3a77f9233e4eae1f46b2c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (7433fa0530d3a77f9233e4eae1f46b2c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (7433fa0530d3a77f9233e4eae1f46b2c)] -> css selector: #myTab a]] to be visible
19:38:59.874 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose inter_example level
19:39:00.454 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (7433fa0530d3a77f9233e4eae1f46b2c)] -> css selector: .active.in .list-group] to be visible
19:39:01.109 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap List Box exercise
19:39:01.382 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Left_SelectAll_And_Move_Should_Move_All_Elements Passed
19:39:01.382 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:39:01.813 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:39:01.863 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/IntermediateTestsData/BoostrapListBoxData.xlsx data
19:39:01.865 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:39:01.865 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:39:01.892 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:39:07.770 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:39:07.772 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:39:07.772 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapList_Right_Select_Element_And_Move_Should_Move_Element Started
19:39:07.845 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (83b2ae6513bc65115159ff25b9eb1b09)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (83b2ae6513bc65115159ff25b9eb1b09)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (83b2ae6513bc65115159ff25b9eb1b09)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (83b2ae6513bc65115159ff25b9eb1b09)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (83b2ae6513bc65115159ff25b9eb1b09)] -> css selector: #myTab a]] to be visible
